prof_id,firstName,lastName,class,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI485,5,2.2,2.6,True,False,50.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI486,1,5,1,True,False,100.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI248H,4,4.25,2.25,True,False,100.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI85,3,5,2,True,False,100.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI64,6,4,2.167,True,False,83.33
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI385,1,3,4,True,False,0.0
VGVhY2hlci0xMTgwNDcx,Ryan,Thornburg,MEJO153,15,4.667,3.6,True,False,93.33
VGVhY2hlci0xMTgwNDcx,Ryan,Thornburg,MEJO570,7,4.571,3.143,True,False,85.71
VGVhY2hlci0xMTgwNDcx,Ryan,Thornburg,MEJO652,1,5,4,True,False,100.0
VGVhY2hlci0xMTgwNDcx,Ryan,Thornburg,JOMC153,6,4.667,3.833,True,False,100.0
VGVhY2hlci0xMTgwNDcx,Ryan,Thornburg,JOMC491,2,4.5,3,False,False,100.0
VGVhY2hlci0xODAxNDgz,Mike,Morgan,HIST207,14,4.5,4.214,True,False,100.0
VGVhY2hlci0xODAxNDgz,Mike,Morgan,HIST398,4,4.5,3.5,True,False,100.0
VGVhY2hlci0xODAxNDgz,Mike,Morgan,PWAD206,1,5,2,False,False,100.0
